Category,Name,TruckID,Length,Breadth,Height,Volume,Weight,Price
LCV,Tempo 407,0,9.5,5.5,5.5,287.375,1500,1
LCV,Tempo 407,1,9.5,5.5,5.5,287.375,2000,1
LCV,Tempo 407,2,9.5,5.5,5.5,287.375,2500,2
LCV,13 Feet,3,13,5.5,7,500.5,3500,3
LCV,14 Feet,4,14,6,6,504,4000,3
LCV,17 Feet,5,17,6,7,672,6000,4
OPEN,18 Feet Taurus,6,18,7,7,882,8000,6
OPEN,19 Feet Taurus,7,19,7,7,931,9000,10
OPEN,10 TYRE,8,22,7.5,8,1320,14000,11
OPEN,10 TYRE,9,22,7.5,8,1320,15000,12
OPEN,10 TYRE,10,22,7.5,8,1320,16000,12
OPEN,12 TYRE,11,22,7.5,8,1320,20000,15
OPEN,12 TYRE,12,22,7.5,8,1320,21000,16
OPEN,12 TYRE,13,22,7.5,8,1320,22000,16
OPEN,14 TYRE,14,22,7.5,8,1320,24000,16
OPEN,14 TYRE,15,22,7.5,8,1320,25000,16
OPEN,14 TYRE,16,22,7.5,8,1320,26000,16
CONTAINER,20 ft sxl,18,20,8,8,1280,6000,5
CONTAINER,20 ft sxl,19,20,8,8,1280,6500,5
CONTAINER,20 ft sxl,20,20,8,8,1280,7000,5
CONTAINER,24 ft sxl,21,24,8,8,1536,6000,7
CONTAINER,24 ft sxl,22,24,8,8,1536,6500,7
CONTAINER,24 ft sxl,23,24,8,8,1536,7000,7
CONTAINER,24 ft mxl,24,24,8,8,1536,14000,13
CONTAINER,24 ft mxl,25,24,8,8,1536,14500,13
CONTAINER,24 ft mxl,26,24,8,8,1536,15000,13
CONTAINER,32 ft sxl,27,32,8,8,2048,6000,8
CONTAINER,32 ft sxl,28,32,8,8,2048,6500,8
CONTAINER,32 ft sxl,29,32,8,8,2048,7000,8
CONTAINER,32 ft sxl HQ,30,32,9,10,2880,6000,9
CONTAINER,32 ft sxl HQ,31,32,9,10,2880,6500,9
CONTAINER,32 ft sxl HQ,32,32,9,10,2880,7000,9
CONTAINER,32 ft mxl,33,32,8,8,2048,14000,14
CONTAINER,32 ft mxl,34,32,8,8,2048,14500,14
CONTAINER,32 ft mxl,35,32,8,8,2048,15000,14
CONTAINER,32 ft mxl HQ,36,32,9,10,2880,14000,14
CONTAINER,32 ft mxl HQ,37,32,9,10,2880,14500,14
CONTAINER,32 ft mxl HQ,38,32,9,10,2880,15000,14
CONTAINER,32 Ft txl,39,32,8,8,2048,20000,17
CONTAINER,32 Ft txl,40,32,8,8,2048,20500,17
CONTAINER,32 Ft txl,41,32,8,8,2048,21000,17
CONTAINER,32 Ft txl HQ,42,32,9,10,2880,20000,17
CONTAINER,32 Ft txl HQ,43,32,9,10,2880,20500,17
CONTAINER,32 Ft txl HQ,44,32,9,10,2880,21000,17
TRAILER,Low bed,45,42,8,8.5,2856,23000,17
TRAILER,Low bed,46,42,8,8.5,2856,28000,18
TRAILER,Low bed,47,42,8,8.5,2856,35000,19
TRAILER,Semi bed,48,42,8,8.5,2856,23000,20
TRAILER,Semi bed,49,42,8,8.5,2856,28000,21
TRAILER,Semi bed,50,42,8,8.5,2856,35000,22
TRAILER,High bed,51,42,8,8.5,2856,23000,23
TRAILER,High bed,52,42,8,8.5,2856,28000,24
TRAILER,High bed,53,42,8,8.5,2856,35000,25
